NAME,x,y
Kogelberg Sandstone Fynbos,18.93500315,-34.14380537
Kogelberg Sandstone Fynbos,19.06833915,-33.99380237
Kogelberg Sandstone Fynbos,19.06833915,-34.31047537
Kogelberg Sandstone Fynbos,19.16834115,-34.12713837
Kogelberg Sandstone Fynbos,18.93500315,-34.24380737
Kogelberg Sandstone Fynbos,19.06833915,-33.91046737
Kogelberg Sandstone Fynbos,18.96833715,-34.09380437
Kogelberg Sandstone Fynbos,19.05167215,-34.02713637
Kogelberg Sandstone Fynbos,19.15167415,-33.96046837
Kogelberg Sandstone Fynbos,19.18500815,-34.12713837
Kogelberg Sandstone Fynbos,18.88500215,-34.27714137
Kogelberg Sandstone Fynbos,19.11834015,-34.14380537
Kogelberg Sandstone Fynbos,19.13500715,-34.14380537
Kogelberg Sandstone Fynbos,19.01833815,-34.04380337
Kogelberg Sandstone Fynbos,19.16834115,-34.17713937
Kogelberg Sandstone Fynbos,18.91833615,-34.21047337
Kogelberg Sandstone Fynbos,18.98500415,-34.09380437
Kogelberg Sandstone Fynbos,19.15167415,-34.14380537
Kogelberg Sandstone Fynbos,18.93500315,-34.29380837
Kogelberg Sandstone Fynbos,19.10167315,-34.31047537
Kogelberg Sandstone Fynbos,18.91833615,-34.29380837
Kogelberg Sandstone Fynbos,19.15167415,-34.24380737
Kogelberg Sandstone Fynbos,18.90166915,-34.29380837
Kogelberg Sandstone Fynbos,19.00167115,-34.26047437
Kogelberg Sandstone Fynbos,18.93500315,-34.21047337
Kogelberg Sandstone Fynbos,19.01833815,-34.26047437
Kogelberg Sandstone Fynbos,19.10167315,-34.14380537
Kogelberg Sandstone Fynbos,18.95167015,-34.32714237
Canca Limestone Fynbos,21.50172115,-34.29380837
Canca Limestone Fynbos,21.48505415,-34.29380837
Canca Limestone Fynbos,21.25171615,-34.24380737
Canca Limestone Fynbos,21.23504915,-34.24380737
Canca Limestone Fynbos,21.08504615,-34.27714137
Canca Limestone Fynbos,21.26838315,-34.24380737
Canca Limestone Fynbos,21.65172415,-34.26047437
Canca Limestone Fynbos,21.58505615,-34.31047537
Canca Limestone Fynbos,21.55172215,-34.26047437
Canca Limestone Fynbos,21.68505815,-34.27714137
Canca Limestone Fynbos,20.98504415,-34.31047537
Canca Limestone Fynbos,21.61839015,-34.27714137
Canca Limestone Fynbos,21.60172315,-34.31047537
Canca Limestone Fynbos,21.53505515,-34.26047437
Canca Limestone Fynbos,20.95171015,-34.31047537
Canca Limestone Fynbos,21.28505015,-34.24380737
Canca Limestone Fynbos,21.00171115,-34.31047537
Canca Limestone Fynbos,21.10171315,-34.27714137
Canca Limestone Fynbos,21.51838815,-34.29380837
Canca Limestone Fynbos,21.23504915,-34.27714137
Canca Limestone Fynbos,21.28505015,-34.26047437
Canca Limestone Fynbos,21.46838715,-34.29380837
Canca Limestone Fynbos,21.10171315,-34.32714237
Canca Limestone Fynbos,21.11838015,-34.27714137
Canca Limestone Fynbos,21.68505815,-34.29380837
Canca Limestone Fynbos,21.15171415,-34.32714237
Canca Limestone Fynbos,21.13504715,-34.27714137
Canca Limestone Fynbos,21.73505915,-34.31047537
Canca Limestone Fynbos,21.13504715,-34.32714237
Canca Limestone Fynbos,21.60172315,-34.27714137
Canca Limestone Fynbos,21.30171715,-34.32714237
