"","x","y","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc"
"128",18.414989,-33.9645,8005895,"PRE0071359-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.9645,18.414989,"501-2000m"
"129",18.415513,-33.95133,8005886,"PRE0070024-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.95133,18.415513,"501-2000m"
"130",18.980435,-33.936952,8005890,"PRE0617026-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.936952,18.980435,"501-2000m"
"131",20.877174,-33.876048,8005872,"PRE0070034-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.876048,20.877174,"<500m"
"132",19.129635,-33.692103,8005870,"PRE0070037-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.692103,19.129635,"<500m"
"133",19.16961,-33.601966,8005871,"PRE0070036-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.601966,19.16961,"501-2000m"
"134",19.990012,-33.240345,8005888,"NBG0168822-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.240345,19.990012,"501-2000m"
"135",19.561562,-34.557072,8004326,"NBG0182666-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-34.557072,19.561562,"501-2000m"
"136",18.41194444,-34.2225,8004290,"SAM0053727-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-34.2225,18.41194444,"501-2000m"
"137",19.597665,-34.021944,8004318,"NBG0147148-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-34.021944,19.597665,"501-2000m"
"138",19.028234,-34.017703,8004309,"PRE0812966-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-34.017703,19.028234,"501-2000m"
"139",18.965418,-34.011106,8004304,"NBG0182674-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-34.011106,18.965418,"501-2000m"
"140",19.029428,-34.005684,8004307,"NBG0182673-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-34.005684,19.029428,"<500m"
"141",18.415629,-33.984859,8004283,"NBG0149848-1","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-33.984859,18.415629,"<500m"
"142",18.405724,-33.978881,8004286,"NBG0149666-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-33.978881,18.405724,"501-2000m"
"143",20.45911,-33.977696,8004336,"NBG0057950-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-33.977696,20.45911,"<500m"
"144",20.707413,-33.975115,8004315,"NBG0134886-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-33.975115,20.707413,"501-2000m"
"145",18.411876,-33.967958,8004285,"NBG0153510-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-33.967958,18.411876,"501-2000m"
"146",21.229767,-33.958466,8004294,"PRE0763074-0","","","Orchidaceae","Coryciinae","Corycium carnosum (Lindl.) Rolfe ","CorycCarno",-33.958466,21.229767,"501-2000m"
