"","","<500m","500m - 2000m","501-2000m","A","A.Galley","B","B.Galley","GPS"
"PentmOreop",0,0,0,0,0,1,0,10,0
"PentmSwart",0,0,0,0,0,0,0,2,0
"PentmThuar",0,0,0,0,0,1,0,17,0
"PentmUnifl",0,0,0,0,0,0,0,2,0
"PrionDenta",0,0,0,2,0,0,0,0,0
"PrionEcklo",0,0,0,2,0,0,0,1,0
"PrionPholi",0,2,0,2,0,0,0,0,0
"ProteAcaul",0,5,0,24,0,0,0,0,0
"ProteAcumi",0,1,0,10,0,0,0,0,3
"ProteAmple",0,1,0,8,0,0,0,0,1
"ProteAngus",0,0,0,3,0,0,0,0,0
"ProteArist",0,0,0,1,0,0,0,0,0
"ProteAsper",0,0,0,6,0,0,0,0,0
"ProteAurea",0,1,0,8,0,0,0,0,0
"ProteBurch",0,1,0,25,0,0,0,0,2
"ProteCaesp",0,0,0,9,0,0,0,0,0
"ProteCanal",0,0,0,10,0,0,0,0,0
"ProteCompa",0,0,0,21,0,0,0,0,0
"ProteConve",0,0,0,4,0,0,0,0,0
"ProteCorda",0,1,0,6,0,0,0,0,0
"ProteCoron",0,2,0,27,0,0,0,0,0
"ProteCryop",0,3,0,12,0,0,0,0,0
"ProteCynar",0,2,0,32,0,0,0,0,0
"ProteDecur",0,1,0,4,0,0,0,0,0
"ProteDenti",0,0,0,5,0,0,0,0,0
"ProteEffus",0,0,0,5,0,0,0,0,0
"ProteEximi",0,2,0,21,0,0,0,0,0
"ProteFolio",0,0,0,3,0,0,0,0,0
"ProteGlabr",0,1,0,21,0,0,0,0,3
"ProteGrand",0,5,0,15,0,0,0,0,0
"ProteHolos",0,0,0,6,0,0,0,0,0
"ProteHumif",0,0,0,12,0,0,0,0,0
"ProteInton",0,0,0,2,0,0,0,0,0
"ProteLacti",0,0,0,9,0,0,0,0,0
"ProteLaevi",0,0,0,5,0,0,0,0,1
"ProteLance",0,1,0,19,0,0,0,0,0
"ProteLauri",0,5,0,50,0,0,0,0,2
"ProteLepid",0,6,0,22,0,0,0,0,1
"ProteLongi",0,5,0,24,0,0,0,0,1
"ProteLorea",0,1,0,2,0,0,0,0,0
"ProteLorif",0,4,0,27,0,0,0,0,3
"ProteMagni",0,1,0,15,0,0,0,0,2
"ProteMonta",0,0,0,3,0,0,0,0,0
"ProteMucro",0,0,0,2,0,0,0,0,0
"ProteMundi",0,2,0,17,0,0,0,0,0
"ProteNana",0,1,0,10,0,0,0,0,1
"ProteNerii",0,8,0,70,0,0,0,0,1
"ProteNitid",0,5,0,57,0,0,0,0,0
"ProteObtus",0,3,1,33,0,0,0,0,1
"ProteOdora",0,0,0,6,0,0,0,0,0
"ProtePendu",0,0,0,5,0,0,0,0,0
"ProtePisci",0,0,0,2,0,0,0,0,0
"ProtePityp",0,0,0,2,0,0,0,0,1
"ProtePruin",0,1,0,6,0,0,0,0,0
"ProtePuden",0,0,0,4,0,0,0,0,0
"ProtePunct",0,0,0,14,0,0,0,0,1
"ProteRecon",0,0,0,5,0,0,0,0,1
"ProteRepen",0,12,0,58,0,0,0,0,1
"ProteResti",0,0,0,8,0,0,0,0,1
"ProteRevol",0,2,0,5,0,0,0,0,0
"ProteRupic",0,0,0,17,0,0,0,0,0
"ProteScabi",0,2,0,5,0,0,0,0,0
"ProteScabr",0,0,0,10,0,0,0,0,1
"ProteScolo",0,1,0,27,0,0,0,0,0
"ProteScoly",0,1,0,15,0,0,0,0,0
"ProteScorz",0,0,0,3,0,0,0,0,1
"ProteSpeci",0,5,0,21,0,0,0,0,0
"ProteStoko",0,1,0,7,0,0,0,0,0
"ProteSubul",0,0,0,13,0,0,0,0,0
"ProteSubve",0,0,0,2,0,0,0,0,1
"ProteSulph",0,0,0,8,0,0,0,0,0
"ProteSusan",0,2,0,24,0,0,0,0,0
"ProteTenax",0,0,0,4,0,0,0,0,0
"ProteVenus",0,2,0,2,0,0,0,0,0
"ProteVogts",0,0,0,3,0,0,0,0,0
"ProteWitze",0,0,0,3,0,0,0,0,0
"PseudBrach",0,7,0,15,0,0,0,0,0
"PseudCaesp",0,3,0,7,0,0,0,0,0
"PseudMacra",0,34,0,44,0,0,0,0,1
"PseudObtus",0,4,0,15,0,0,0,2,0
"PteryAcuti",0,6,0,49,0,0,0,0,6
"PteryAlatu",0,9,0,47,0,0,0,0,8
"PteryCaffr",0,1,0,42,0,0,0,0,2
"PteryCatho",0,19,0,121,0,0,0,0,8
"PteryCruci",0,1,0,11,0,0,0,0,2
"PteryHalli",0,0,0,6,0,0,0,0,0
"PteryInver",0,0,0,7,0,0,0,0,3
"PteryPenth",0,1,0,11,0,0,0,0,1
"PteryPlaty",0,2,0,23,0,0,0,0,2
"PterySchel",0,3,0,12,0,0,0,0,3
"PteryVoluc",0,2,0,48,0,0,0,0,2
"RestiEgreg",0,8,1,42,0,0,0,0,1
"RestiMican",0,3,0,11,0,0,0,0,1
"RhodoAlpin",0,0,1,6,0,0,0,0,0
"RhodoArida",0,0,2,7,0,0,0,0,1
"RhodoCapen",0,5,0,17,0,0,0,0,2
