Barcode,Family,Scientific_Name,Latitude_Decimal,Longitude_Decimal,Collector,Collectors_Number,Collection_Date,CollectionDay,CollectionMonth,CollectionYear,Voucher,Locality,Habitat_Comments,AltitudeFrom,AltitudeMax,AltitudeUnits,District,Province,Grid,Reference_Accuracy,Latitude_Decimal2,Latitude,txtLatitudeMinutes,txtLatitudeSeconds,Direction,Longitude_Decimal2,Longitude,txtLongitudeMinutes,txtLongitudeSeconds,LogitudeDirection,Herb_Number,Type,PRECI_Number,Det,Source_File,Date_Captured
8001842,Asteraceae,Arctotheca calendula (L.) Levyns ,0,0,Burtt Davy J., PRE 44383,,24,7,1908,Vera,CRADOCK; RIVER-BOTTOM LANDS,,0,0,,,EC,3225BA,,0,0,0,0,S,0,0,0,0,E,,FALSE,PRE0216957-0,,,
8001879,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.324383,18.333716,Liebenberg L.C.C.,8289,,,9,1976,Vera,DARLING; PLATTEKLIP,,0,0,,MALMESBURY,WC,3318AD,2001-5000m,-33.324383,33,19,28,S,18.333716,18,20,1,E,,FALSE,PRE0483834-0,,,
8001880,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.582664,18.362871,Liebenberg L.C.C.,8359,,,9,1976,Vera,DARLING; VAN SILVERSTROOM,,0,0,,Malmesbury,WC,3318CB,501-2000m,-33.582664,33,34,58,S,18.362871,18,21,46,E,,FALSE,PRE0483833-0,,,
8001944,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.593457,20.319794,Van Wyk C.M.,1814,,17,9,1984,Vera,DE HOOP; BUFFELSFONTEIN; ON ROAD TO RYSPUNT.,,0,0,,BREDASDORP,WC,3420CB,501-2000m,-34.593457,34,35,36,S,20.319794,20,19,11,E,,FALSE,PRE0682900-0,,,
8001840,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.45099,20.434961,Burgers C.J.,2126,,2,8,1978,Vera,DE HOOP; POTBERG NAT. RESERV; DRONKVLEI; NEAR HOUSES,,0,0,,Bredasdorp,WC,3420AD,501-2000m,-34.45099,34,27,4,S,20.434961,20,26,6,E,,FALSE,PRE0613027-0,,,
8001862,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.036336,22.941375,Heinecken T.J.E.,117,,,,1968,Vera,GOUKAMMA,,0,0,,KNYSNA,WC,3422BB,501-2000m,-34.036336,34,2,11,S,22.941375,22,56,29,E,,FALSE,PRE0215490-0,,,
8001930,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.251062,24.545148,Tarcisia ,50,,,,,Vera,GRAAF REINET DIV.,,0,0,,GRAAFF REINET,EC,3224BC,>10000m,-32.251062,32,15,4,S,24.545148,24,32,43,E,,FALSE,PRE0216953-0,,,
8001827,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.335043,26.463692,Bayliss R.D.A.,8223,,7,12,1977,Vera,GRAHAMSTOWN; 7 KM. FROM GRAHAMSTOWN ON HIGHLANDS RD.,,0,0,,Albany,EC,3326AD,501-2000m,-33.335043,33,20,6,S,26.463692,26,27,49,E,,FALSE,PRE0525112-0,,,
8001845,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.322836,26.60134,Croeser  & Morgan ,928,,9,8,1981,Vera,GRAHAMSTOWN; BELMONT VALLEY; C.5 KM S OF GRAHAMSTOWN,,0,0,,Albany,EC,3326BC,501-2000m,-33.322836,33,19,22,S,26.60134,26,36,5,E,,FALSE,PRE0647476-0,,,
8001844,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.322836,26.60134,Croeser  & Morgan ,928,,9,8,1981,Vera,GRAHAMSTOWN; BELMONT VALLEY; C.5 KM S OF GRAHAMSTOWN,,0,0,,Albany,EC,3326BC,501-2000m,-33.322836,33,19,22,S,26.60134,26,36,5,E,,FALSE,PRE0647476-0,,,
