"","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Longitude.Decimal.1","Latitude.Decimal.1"
"643",8004057,"NBG0197022-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.40555556,19.10611111,"GPS",19.10611111,-32.40555556
"644",8004059,"NBG0057688-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.366546,19.106742,"501-2000m",19.106742,-32.366546
"645",8004109,"NBG0182237-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.206857,19.059111,"501-2000m",19.059111,-32.206857
"691",8005892,"PRE0477215-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.326544,18.928449,"501-2000m",18.928449,-34.326544
"692",8005865,"PRE0239419-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.255219,18.89072,"501-2000m",18.89072,-34.255219
"694",8005885,"PRE0070073-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.146758,19.136791,"501-2000m",19.136791,-34.146758
"698",8005873,"PRE0070021-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.049187,19.003546,"501-2000m",19.003546,-34.049187
"699",8005874,"PRE0836406-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.012744,19.035115,"501-2000m",19.035115,-34.012744
"703",8005883,"PRE0679348-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.98695,18.969075,"501-2000m",18.969075,-33.98695
"705",8005866,"PRE0728542-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.971629,19.506266,"<500m",19.506266,-33.971629
"706",8005880,"PRE0679302-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.968416,18.411066,"501-2000m",18.411066,-33.968416
"707",8005887,"PRE0070023-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.96611,18.42528,"501-2000m",18.42528,-33.96611
"708",8005895,"PRE0071359-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.9645,18.414989,"501-2000m",18.414989,-33.9645
"709",8005886,"PRE0070024-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.95133,18.415513,"501-2000m",18.415513,-33.95133
"710",8005890,"PRE0617026-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.936952,18.980435,"501-2000m",18.980435,-33.936952
