"","Species","Lon","Lat"
"921","PentaAmpla",19.0333,-34.0167
"922","PentaAmpla",18.4333,-33.9833
"923","PentaAmpla",18.9833,-33.9833
"924","PentaAmpla",18.4333,-33.9667
"925","PentaAmpla",18.9667,-33.9667
"926","PentaAmpla",21.2167,-33.95
"927","PentaAmpla",19.2,-33.9
"928","PentaAmpla",22.4333,-33.8833
"929","PentaAmpla",25.2167,-33.8833
"930","PentaAmpla",19.1667,-33.7
"931","PentaAmpla",19.1,-33.6833
"932","PentaAmpla",19.1167,-33.5167
"933","PentaAmpla",19.15,-33.4667
"934","PentaAmpla",19.3167,-33.45
"935","PentaAmpla",19.15,-33.15
"936","PentaAmpla",19.1833,-33.1333
"937","PentaAmpla",19.1833,-32.9667
"938","PentaAmpla",19.2,-32.9667
"939","PentaAmpla",19.15,-32.6667
"940","PentaAmpla",19.15,-32.5167
"941","PentaAmpla",19.0666,-32.35
"942","PentaAmpla",19.0719,-32.35
"943","PentaArgen",19.5833,-34.6333
"944","PentaArgen",18.9833,-34.25
"945","PentaArgen",18.9833,-34.0167
"946","PentaArgen",19.6667,-34
"947","PentaArgen",18.4167,-33.9833
"948","PentaArgen",18.4333,-33.9833
"949","PentaArgen",18.4,-33.9667
"950","PentaArgen",18.4333,-33.9667
"951","PentaArgen",18.9833,-33.9667
"952","PentaArgen",20.4667,-33.9667
"953","PentaArgen",20.7,-33.9667
"954","PentaArgen",21.2333,-33.9667
"955","PentaArgen",21.1897,-33.9576
"956","PentaArgen",19.1667,-33.95
"957","PentaArgen",20.4667,-33.95
"958","PentaArgen",21.2333,-33.95
"959","PentaArgen",19.1667,-33.9167
"960","PentaArgen",20.8667,-33.9167
"961","PentaArgen",23.1667,-33.9167
"962","PentaArgen",22.0167,-33.8833
"963","PentaArgen",22.4,-33.8833
"964","PentaArgen",23.1833,-33.8167
"965","PentaArgen",19.15,-33.0167
"966","PentaArist",19.5833,-34.6333
"967","PentaArist",18.9667,-34.3167
"968","PentaArist",19.1667,-34.2
"969","PentaArist",18.4167,-34.0833
"970","PentaArist",19.6667,-34.0167
"971","PentaArist",19.7167,-34.0167
"972","PentaArist",19.6667,-34
"973","PentaArist",18.4,-33.95
"974","PentaArist",21.2167,-33.95
